[run number],connect-number,resource-abundance,altruist-number,Max.Resource,Shared,hardship,miser-number,[step],sum [Waste] of altruists,sum [Harvest] of altruists,min [Harvest] of altruists,max [Harvest] of altruists,count foods,count (altruists) with [Harvest = 0]
2,3,2,20,52,0.33,0.1,0,9,538.528222,971.971778,33.86531486,51.00085637,380,0
6,3,2,20,52,0.33,0.1,0,8,856.9313745,990.0686255,34.84,51.96856733,380,0
8,3,2,20,52,0.33,0.1,0,8,1098.337052,997.6629482,34.56269469,52,380,0
4,3,2,20,52,0.33,0.1,0,9,742.9325378,997.0674622,34.84,52,380,0
1,3,2,20,52,0.33,0.1,0,8,308.1089951,994.8910049,34.84,52,380,0
6,3,2,20,52,0.33,0.1,0,9,863.9681132,968.0318868,33.79859655,50.65075681,380,0
2,3,2,20,52,0.33,0.1,0,10,549.3057363,966.6942637,33.84855222,51.04938247,380,0
5,3,2,20,52,0.33,0.1,0,10,474.0900265,966.9099735,33.38094021,51.12117141,380,0
7,3,2,20,52,0.33,0.1,0,9,742.9063803,995.5936197,34.84,52,380,0
3,3,2,20,52,0.33,0.1,0,9,722.2623691,995.7376309,34.72260385,52,380,0
8,3,2,20,52,0.33,0.1,0,9,1331.713639,995.2863605,34.25054456,52,380,0
4,3,2,20,52,0.33,0.1,0,10,953.8923476,996.1076524,34.7555168,52,380,0
1,3,2,20,52,0.33,0.1,0,9,489.0269637,993.4730363,34.84,52,380,0
2,3,2,20,52,0.33,0.1,0,11,723.0928976,991.4071024,34.61782636,52,380,0
5,3,2,20,52,0.33,0.1,0,11,634.2092942,999.2907058,34.14975314,52,380,0
6,3,2,20,52,0.33,0.1,0,10,1075.56584,999.4341595,33.47891276,52,380,0
7,3,2,20,52,0.33,0.1,0,10,958.2783459,1002.721654,33.84655815,52,380,0
3,3,2,20,52,0.33,0.1,0,10,803.047782,989.952218,34.71983491,51.87975085,380,0
8,3,2,20,52,0.33,0.1,0,10,1608.022288,992.9777118,34.84,52,380,0
4,3,2,20,52,0.33,0.1,0,11,1157.179823,997.8201766,34.73963222,52,380,0
5,3,2,20,52,0.33,0.1,0,12,643.298822,981.701178,34.21204585,51.44505293,380,0
1,3,2,20,52,0.33,0.1,0,10,667.1605685,996.8394315,34.84,52,380,0
6,3,2,20,52,0.33,0.1,0,11,1284.793518,996.2064821,34.8171608,52,380,0
2,3,2,20,52,0.33,0.1,0,12,893.2925844,1001.707416,34.84,52,380,0
4,3,2,20,52,0.33,0.1,0,12,1162.317605,977.6823953,34.06541276,50.99509868,380,0
3,3,2,20,52,0.33,0.1,0,11,1039.465199,1001.534801,34.84,52,380,0
7,3,2,20,52,0.33,0.1,0,11,1159.432621,1001.067379,34.8200834,52,380,0
8,3,2,20,52,0.33,0.1,0,11,1864.107305,998.8926955,33.17414503,52,380,0
5,3,2,20,52,0.33,0.1,0,13,782.9178419,996.5821581,34.69207479,51.95129799,380,0
1,3,2,20,52,0.33,0.1,0,11,858.1441422,998.3558578,34.84,52,380,0
2,3,2,20,52,0.33,0.1,0,13,978.0993525,983.4006475,33.98567141,51.54285736,380,0
4,3,2,20,52,0.33,0.1,0,13,1220.197425,987.8025746,34.53410869,51.93871202,380,0
3,3,2,20,52,0.33,0.1,0,12,1282.172575,997.8274253,34.56284723,52,380,0
6,3,2,20,52,0.33,0.1,0,12,1515.291434,997.7085662,34.51725522,52,380,0
7,3,2,20,52,0.33,0.1,0,12,1382.813676,993.186324,34.3079812,52,380,0
8,3,2,20,52,0.33,0.1,0,12,2008.533216,996.4667835,34.52118008,51.81775853,380,0
5,3,2,20,52,0.33,0.1,0,14,978.0298534,993.9701466,34.74947382,52,380,0
2,3,2,20,52,0.33,0.1,0,14,1021.64863,971.3513705,32.47266285,50.57196567,380,0
1,3,2,20,52,0.33,0.1,0,12,861.6242543,979.3757457,33.86525656,52,380,0
4,3,2,20,52,0.33,0.1,0,14,1395.195008,1000.804992,26.67166848,52,380,0
3,3,2,20,52,0.33,0.1,0,13,1497.865941,994.1340588,33.03983341,52,380,0
8,3,2,20,52,0.33,0.1,0,13,2168.460506,995.5394935,34.78306409,52,380,0
7,3,2,20,52,0.33,0.1,0,13,1597.776542,998.7234578,34.72330964,52,380,0
6,3,2,20,52,0.33,0.1,0,13,1728.886223,997.1137772,34.42068957,52,380,0
2,3,2,20,52,0.33,0.1,0,15,1117.777081,996.7229186,34.84,52,380,0
5,3,2,20,52,0.33,0.1,0,15,1178.723953,998.7760471,34.74447349,52,380,0
1,3,2,20,52,0.33,0.1,0,13,878.3008585,974.1991415,34.64684029,52,380,0
4,3,2,20,52,0.33,0.1,0,15,1569.588612,989.4113879,34.43557919,52,380,0
3,3,2,20,52,0.33,0.1,0,14,1698.115499,992.8845014,34.77935858,52,380,0
6,3,2,20,52,0.33,0.1,0,14,1896.121939,995.878061,34.81661352,52,380,0
8,3,2,20,52,0.33,0.1,0,14,2383.876095,996.1239052,34.36610464,52,380,0
2,3,2,20,52,0.33,0.1,0,16,1163.483194,989.5168056,34.75100588,51.7060184,380,0
1,3,2,20,52,0.33,0.1,0,14,881.5662476,966.4337524,32.63674277,51.17384579,380,0
7,3,2,20,52,0.33,0.1,0,14,1807.442937,996.5570631,30.53,52,380,0
5,3,2,20,52,0.33,0.1,0,16,1378.392745,999.6072551,34.77522972,52,380,0
4,3,2,20,52,0.33,0.1,0,16,1686.592093,986.4079074,34.06534611,52,380,0
6,3,2,20,52,0.33,0.1,0,15,1991.660502,992.339498,34.44904074,52,380,0
3,3,2,20,52,0.33,0.1,0,15,1870.74822,996.2517802,34.43281825,52,380,0
2,3,2,20,52,0.33,0.1,0,17,1310.621901,994.8780987,34.84,52,380,0
8,3,2,20,52,0.33,0.1,0,15,2657.475943,993.5240575,34.84,52,380,0
5,3,2,20,52,0.33,0.1,0,17,1523.578235,991.9217651,34.84,52,380,0
1,3,2,20,52,0.33,0.1,0,15,1030.904333,988.595667,34.56187938,51.76056283,380,0
7,3,2,20,52,0.33,0.1,0,15,2042.032484,994.4675165,34.54153183,52,380,0
4,3,2,20,52,0.33,0.1,0,17,1872.061037,998.9389634,33.72218432,52,380,0
5,3,2,20,52,0.33,0.1,0,18,1525.392853,971.6071469,33.65851623,50.71376898,380,0
6,3,2,20,52,0.33,0.1,0,16,2201.972786,995.0272137,34.49394659,52,380,0
3,3,2,20,52,0.33,0.1,0,16,2102.142583,992.8574166,33.14193793,52,380,0
2,3,2,20,52,0.33,0.1,0,18,1489.88828,1000.11172,33.22526521,52,380,0
8,3,2,20,52,0.33,0.1,0,16,2914.395994,997.604006,30.59559477,52,380,0
7,3,2,20,52,0.33,0.1,0,16,2283.968012,995.0319881,34.07015892,52,380,0
1,3,2,20,52,0.33,0.1,0,16,1164.685392,991.3146078,34.66863035,52,380,0
4,3,2,20,52,0.33,0.1,0,18,2136.397378,996.6026217,34.68258678,52,380,0
5,3,2,20,52,0.33,0.1,0,19,1697.95806,994.5419398,34.64606366,51.98129894,380,0
6,3,2,20,52,0.33,0.1,0,17,2387.807307,998.1926926,34.69681007,52,380,0
2,3,2,20,52,0.33,0.1,0,19,1698.000773,996.4992272,34.7987877,52,380,0
3,3,2,20,52,0.33,0.1,0,17,2274.775295,996.2247055,34.42506637,52,380,0
7,3,2,20,52,0.33,0.1,0,17,2333.988271,986.5117285,34.57554981,52,380,0
8,3,2,20,52,0.33,0.1,0,17,3198.049813,996.9501875,34.84,52,380,0
1,3,2,20,52,0.33,0.1,0,17,1281.557786,992.9422144,34.27894125,52,380,0
4,3,2,20,52,0.33,0.1,0,19,2331.561027,995.4389731,34.72982854,52,380,0
5,3,2,20,52,0.33,0.1,0,20,1842.051901,998.9480988,34.83312086,52,380,0
6,3,2,20,52,0.33,0.1,0,18,2620.11746,999.8825403,34.84,52,380,0
3,3,2,20,52,0.33,0.1,0,18,2486.309909,995.6900915,34.75397766,52,380,0
7,3,2,20,52,0.33,0.1,0,18,2440.035909,994.9640908,34.63307181,51.77387618,380,0
2,3,2,20,52,0.33,0.1,0,20,1915.024728,999.975272,34.84,52,380,0
8,3,2,20,52,0.33,0.1,0,18,3452.453448,998.5465524,34.46749781,52,380,0
1,3,2,20,52,0.33,0.1,0,18,1405.050035,994.9499654,34.44076208,52,380,0
4,3,2,20,52,0.33,0.1,0,20,2425.018393,988.9816067,34.73624164,51.82378003,380,0
5,3,2,20,52,0.33,0.1,0,21,2079.122953,1000.377047,34.81573903,52,380,0
2,3,2,20,52,0.33,0.1,0,21,1935.337164,973.1628363,34.18750126,51.24742763,380,0
6,3,2,20,52,0.33,0.1,0,19,2808.251927,996.7480733,34.78294317,52,380,0
3,3,2,20,52,0.33,0.1,0,19,2667.622244,996.3777563,33.08140013,52,380,0
7,3,2,20,52,0.33,0.1,0,19,2656.416749,995.0832511,34.84,52,380,0
1,3,2,20,52,0.33,0.1,0,19,1460.320743,980.1792573,34.64827064,52,380,0
8,3,2,20,52,0.33,0.1,0,19,3719.558398,997.4416024,34.81903664,52,380,0
4,3,2,20,52,0.33,0.1,0,21,2545.483477,995.5165229,34.5176442,52,380,0
5,3,2,20,52,0.33,0.1,0,22,2335.658085,994.3419153,34.7417306,52,380,0
2,3,2,20,52,0.33,0.1,0,22,1935.337164,951.6628363,33.27702343,49.64582946,380,0
6,3,2,20,52,0.33,0.1,0,20,3009.703376,995.2966239,34.59412223,52,380,0
3,3,2,20,52,0.33,0.1,0,20,2944.825448,994.1745524,34.18794935,52,380,0
1,3,2,20,52,0.33,0.1,0,20,1461.4137,958.5863003,32.80685378,51.01449554,380,0
7,3,2,20,52,0.33,0.1,0,20,2879.885381,998.1146185,34.80692616,52,380,0
4,3,2,20,52,0.33,0.1,0,22,2829.106207,996.8937926,34.27421236,52,380,0
8,3,2,20,52,0.33,0.1,0,20,3946.804361,995.195639,34.47087218,52,380,0
5,3,2,20,52,0.33,0.1,0,23,2518.251351,995.2486488,34.65649501,52,380,0
2,3,2,20,52,0.33,0.1,0,23,1943.614477,951.8855228,33.25439509,49.97975535,380,0
6,3,2,20,52,0.33,0.1,0,21,3261.191827,998.8081728,34.36727856,52,380,0
