[run number],connect-number,resource-abundance,altruist-number,Max.Resource,Shared,hardship,miser-number,[step],sum [Waste] of misers,sum [Harvest] of misers,min [Harvest] of misers,max [Harvest] of misers,count (misers) with [Harvest <= 0]
7,3,2,0,52,0.33,0.1,20,11,1162,1040,52,52,0
4,3,2,0,52,0.33,0.1,20,12,1639,1039,51,52,0
1,3,2,0,52,0.33,0.1,20,10,930,1028,48,52,0
6,3,2,0,52,0.33,0.1,20,11,1542.5,1039.5,51.5,52,0
5,3,2,0,52,0.33,0.1,20,11,1273,1027.5,49.5,52,0
2,3,2,0,52,0.33,0.1,20,14,1019,1027,46,52,0
3,3,2,0,52,0.33,0.1,20,11,1521,992,6,52,0
8,3,2,0,52,0.33,0.1,20,11,1276,1009,24,52,0
7,3,2,0,52,0.33,0.1,20,12,1329,1036,50,52,0
2,3,2,0,52,0.33,0.1,20,15,1049.5,1005.5,45,52,0
1,3,2,0,52,0.33,0.1,20,11,1111.5,1032.5,48,52,0
4,3,2,0,52,0.33,0.1,20,13,1865,1038,51,52,0
2,3,2,0,52,0.33,0.1,20,16,1115,1006,43,52,0
6,3,2,0,52,0.33,0.1,20,12,1800,1040,52,52,0
5,3,2,0,52,0.33,0.1,20,12,1474,1040,52,52,0
3,3,2,0,52,0.33,0.1,20,12,1717,994,6,52,0
8,3,2,0,52,0.33,0.1,20,12,1475.5,1015,27,52,0
2,3,2,0,52,0.33,0.1,20,17,1251.5,1005.5,41,52,0
7,3,2,0,52,0.33,0.1,20,13,1514,1040,52,52,0
1,3,2,0,52,0.33,0.1,20,12,1315,1037,50,52,0
4,3,2,0,52,0.33,0.1,20,14,2041.5,1034.5,50,52,0
5,3,2,0,52,0.33,0.1,20,13,1725,1039.5,51.5,52,0
6,3,2,0,52,0.33,0.1,20,13,2045,1036,50,52,0
2,3,2,0,52,0.33,0.1,20,18,1391.5,1012.5,42,52,0
3,3,2,0,52,0.33,0.1,20,13,1914,990,6,52,0
8,3,2,0,52,0.33,0.1,20,13,1694,1018,30,52,0
7,3,2,0,52,0.33,0.1,20,14,1702,1040,52,52,0
3,3,2,0,52,0.33,0.1,20,14,1975.5,979.5,6,52,0
4,3,2,0,52,0.33,0.1,20,15,2255.5,1038.5,50.5,52,0
1,3,2,0,52,0.33,0.1,20,13,1509,1040,52,52,0
2,3,2,0,52,0.33,0.1,20,19,1579.5,1037.5,50.5,52,0
5,3,2,0,52,0.33,0.1,20,14,1891.5,1037.5,50.5,52,0
6,3,2,0,52,0.33,0.1,20,14,2213,1037,51,52,0
8,3,2,0,52,0.33,0.1,20,14,1866.5,1018,32,52,0
7,3,2,0,52,0.33,0.1,20,15,1745.5,1023.5,50,52,0
3,3,2,0,52,0.33,0.1,20,15,2159,988,6,52,0
2,3,2,0,52,0.33,0.1,20,20,1826,1040,52,52,0
1,3,2,0,52,0.33,0.1,20,14,1730.5,1038.5,51,52,0
5,3,2,0,52,0.33,0.1,20,15,2040,1035.5,50,52,0
4,3,2,0,52,0.33,0.1,20,16,2511.5,1037.5,50.5,52,0
6,3,2,0,52,0.33,0.1,20,15,2401,1040,52,52,0
8,3,2,0,52,0.33,0.1,20,15,2082,1026,38,52,0
1,3,2,0,52,0.33,0.1,20,15,1796,1023,50,52,0
7,3,2,0,52,0.33,0.1,20,16,1809.5,1012.5,48,52,0
3,3,2,0,52,0.33,0.1,20,16,2370.5,993.5,6,52,0
2,3,2,0,52,0.33,0.1,20,21,2029,1040,52,52,0
5,3,2,0,52,0.33,0.1,20,16,2226.5,1032.5,49,52,0
6,3,2,0,52,0.33,0.1,20,16,2640,1040,52,52,0
4,3,2,0,52,0.33,0.1,20,17,2766,1040,52,52,0
1,3,2,0,52,0.33,0.1,20,16,1948,1033,49,52,0
8,3,2,0,52,0.33,0.1,20,16,2268.5,1027,39,52,0
3,3,2,0,52,0.33,0.1,20,17,2525.5,985.5,6,52,0
2,3,2,0,52,0.33,0.1,20,22,2232,1040,52,52,0
7,3,2,0,52,0.33,0.1,20,17,2014,1039,51,52,0
5,3,2,0,52,0.33,0.1,20,17,2480.5,1038,50,52,0
2,3,2,0,52,0.33,0.1,20,23,2232,1016,50,52,0
6,3,2,0,52,0.33,0.1,20,17,2722,1024,50,52,0
4,3,2,0,52,0.33,0.1,20,18,2958,1040,52,52,0
1,3,2,0,52,0.33,0.1,20,17,2179,1040,52,52,0
8,3,2,0,52,0.33,0.1,20,17,2450,1029,41,52,0
3,3,2,0,52,0.33,0.1,20,18,2703,985,6,52,0
6,3,2,0,52,0.33,0.1,20,18,2722,1005,48,52,0
2,3,2,0,52,0.33,0.1,20,24,2250,996,48,52,0
7,3,2,0,52,0.33,0.1,20,18,2238,1040,52,52,0
5,3,2,0,52,0.33,0.1,20,18,2686.5,1038.5,50.5,52,0
4,3,2,0,52,0.33,0.1,20,19,3160,1035,50,52,0
1,3,2,0,52,0.33,0.1,20,18,2348.5,1036.5,50,52,0
3,3,2,0,52,0.33,0.1,20,19,2773.5,983.5,6,52,0
